Title	Original Title	Type	Release year	Rating	Watch date	Comments	
Hidden Man	Xie bu ya zheng	Film	2018	2	17/09/2022		
The Lost Bladesman	Guan yun chang	Film	2011	2	18/09/2022		
Painted Skin	Hua pi	Film	2008	3	18/09/2022		
Painted Skin: The Resurrection	Hua pi 2	Film	2012	3	19/09/2022		
Top Secret!		Film	1984	2	19/09/2022		
Lightyear		Film	2022	2	19/09/2022		
Encanto		Film	2021	2	23/09/2022		
Dear Ex	Shei xian ai shang ta de	Film	2018	2	24/09/2022		
Shadow	Ying	Film	2018	2	25/09/2022		
Dying to Survive	Wo bu shi yao shen	Film	2018	3.5	27/09/2022		
On Happiness Road	Hsing fu lu shang	Film	2017	3.5	27/09/2022		
My Mom's a Werewolf		Film	1989	2	29/09/2022		
Secret Window		Film	2004	1.5	30/09/2022		
Last Letter	Rasuto Retā	Film	2020	2.5	02/10/2022	very good but VERY slow	
Jinpa	Zhuang si le yi zhi yang	Film	2018	1	03/10/2022		
The Yellow Sea	Hwanghae	Film	2010	4	03/10/2022		
Jurassic World Dominion		Film	2022	2.5	06/10/2022		
The Green Knight		Film	2021	1.5	06/10/2022		
The Medium		Film	2021	1	09/10/2022		
Amadeus		Film	1094	4	09/10/2022		
The Addams Family		Film	1991	3	10/10/2022		
Addams Family Values		Film	1993	2.5	10/10/2022		
Halloween with the Addams Family		Special episode	1964	1	10/10/2022		
Addams Family Reunion		TV Movie	1998	1	10/10/2022		
The Addams Family		Film	2019	2.5	11/10/2022		
The Addams Family 2		Film	2021	2.5	11/10/2022		
Spiderhead		Film	2022	1	11/10/2022		
Peppermint Candy	Bakha satang	Film	1999	1	12/10/2022		
The Birds		Film	1963	3	13/10/2022		
Ash is Purest White	Jiang hu er nü	Film	2018	2.5	14/10/2022		
Cats and Peachtopia		Film	2018	1.5	15/10/2022		
Us and Them		Film	2017	2	21/10/2022		
Cities of Last Things	Xìngfú Chéngshì	Film	2018	3.5	22/10/2022		
Full Moon High		Film	1981	3.5	22/10/2022		
The World of Us	Urideul	Film	2016	3.5	23/10/2022		
Teen Wolf Too		Film	1987	1.5	24/10/2022		
Hway: A Monster Boy	Hwayi: Gwimuleul samkin ai	Film	2013	3	25/10/2022		
The Looming Storm	Bao xue jiang zhi	Film	2017	2	26/10/2022		
Birthday	Saeng-il	Film	2019	3	27/10/2022		
Gatao 2: Rise of the Kins	Jiao tou 2: Wang zhe zai qi	Film	2018	3	29/10/2022		
Damien: Omen II		Film	1978	2	03/11/2022		
Omen III: The Final Conflict		Film	1981	1	06/11/2022		
Omen IV: The Awakening		TV Movie	1991	2.5	06/11/2022		
The Omen		Film	2006	1	07/11/2022		
Oasis	Oasiseu	Film	2002	3	08/11/2022		
The Lost City		Film	2022	1.5	10/11/2022		
The Good, the Bad and the Ugly	Il buono, il brutto, il cattivo	Film	1966	3	12/11/2022		
Dear Zachary: A Letter to a Son About His Father		Film	2008	2	21/11/2022		
Mirage	Durante la tormenta	Film	2018	2.5	22/11/2022		
Martyrs		Film	2008	1	28/11/2022		
The Deer Hunter		Film	1978	3	04/12/2022		
Happines		Film	1998	2.5	05/12/2022	Weird and psychotic	
Alienoid	Oegye+in 1bu	Film	2022	3.5	11/12/2022		
Thor: Love and Thunder		Film	2022	1	13/12/2022		
Pinocchio (Disney)		Film	2022	3.5	19/12/2022		
Pinocchio (Netflix)	Guillermo del Toro's Pinocchio	Film	2022	3.5	19/12/2022		
Three Thousand Years of Longing		Film	2022	4	20/12/2022		
Orphan: First Kill		Film	2022	2.5	21/12/2022		
The Mask		Film	1994	3	23/12/2022		
Vampire Hunter D	Kyûketsuki hantâ D	Anime Film	1985	2.5	25/12/2022		
Weird: The Al Yankovic Story		Film	2022	2	28/12/2022		
The Squid and the Whale		Film	2005	1	28/12/2022	weird and uncomfortable	
Conan the Barbarian		Film	1982	2	28/12/2022		
Ace Ventura: Pet Detective		Film	1994	3	02/01/2023		
Conan the Destroyer		Film	1984	2	03/01/2023		
Angel's Egg	Tenshi no tamago	Video Anime	1985	3	03/01/2023		
Battle Angel	Gunnm	TV Mini Series Anime	1993	3	03/01/2023		
Perfect Blue	Pâfekuto burû	Anime Film	1997	3	03/01/2023		
Hocus Pocus 2		Film	2022	2.5	05/01/2023		
Ace Ventura: When Nature Calls		Film	1995	2.5	05/01/2023		
Ace Ventura: Pet Detective Jr.		Movie	2009	1.5	05/01/2023		
Son of the Mask		Film	2005	1	07/01/2023		
The King		Film	2019	3	09/01/2023		
Doctor Dolittle		Film	1967	1.5	10/01/2023		
Dr. Dolittle		Film	1998	2	11/01/2023		
Dr. Dolittle 2		Film	2001	1.5	12/01/2023		
Dolittle		Film	2020	3	14/01/2023		
The Mad Whale		Film	2017	3	13/01/2023		
Some Like It Rare	Barbaque	Film	2021	4	15/01/2023	Extremely funny, perfect dark comedy	
Toward the Terra	Terra e...	Anime Film	1980	3.5	18/01/2023		
Nausicaä of the Valley of the Wind	Kaze no tani no Naushika	Anime Film	1984	3.5	22/01/2023		
Super Dimension Fortress Macross: Do You Remember Love?	Chôjikû Yôsai Macross: Ai Oboeteimasuka	Anime Film	1984	3	23/01/2023		
Fist of the North Star	Hokuto no Ken	Anime Film	1986	3	30/01/2023		
Wicked City	Yôjû toshi	Anime Film	1987	3.5	31/01/2023		
Monster City	Makaitoshi Shinjuku	Anime Film	1988	3	31/01/2023		
Space Adventure Cobra	Supēsu Adobenchā Kobura	Anime Film	1982	3	01/02/2023		
Golgo 13: The Professional	Golgo 13	Anime Film	1983	2	01/02/2023		
Megazone 23 - Part I	Megazōn Tsū Surī	Anime Film	1985	3.5	02/02/2023		
Megazone 23 - Part II	Megazōn Tsū Surī	Anime Film	1986	3.5	02/02/2023		
Megazone 23 - Part III	Megazōn Tsū Surī	Anime Film	1989	2	03/02/2023		
Megazone 23 - Part IV	Megazōn Tsū Surī	Anime Film	1989	2	03/02/2023		
Female Cousins	Banat El am	Film	2012	2	07/02/2023		
Riding Bean		Anime Film	1989	3	08/02/2023		
Venus Wars	Venus Senki	Anime Film	1989	2	13/02/2023		
Kids in America		Film	2005	1	15/02/2023		
Ocean Waves	Umi ga kikoeru	Anime TV Film	1993	2	15/02/2023		
Avatar: The Way of Water		Film	2023	3	16/02/2023		
Nightcrawler		Film	2014	3	20/02/2023		
Naked Lunch		Film	1991	1	20/02/2023		
Blue Velvet		Film	1986	1	21/02/2023		
One Hour Photo		Film	2002	3	01/03/2023		
Swiss Army Man		Film	2016	1	02/03/2023		
The Munsters		Film	2022	2	02/03/2023		
Smile		Film	2022	3	06/03/2023		
The Imitation Game		Film	2014	3	09/03/2023		
Malignant		Film	2021	1	09/03/2023		
Hacksaw Ridge		Film	2016	2.5	10/03/2023		
The Doctor		Film	1991	3	11/03/2023		
The Sessions		Film	2012	3	13/03/2023		
It's Alive		Film	1974	2.5	13/03/2023		
God Told Me To		Film	1976	1	18/03/2023		
It Lives Again		Film	1978	1	18/03/2023		
Q		Film	1982	1	18/03/2023		
The Stuff		Film	1985	1	18/03/2023		
It's Alive III: Island of the Alive		Film	1987	1	18/03/2023		
Best Sellers		Film	2021	1	18/03/2023		
The Ambulance		Film	1990	3	22/03/2023		
Black Hawk Down		Film	2001	2	24/03/2023		
Teen Wolf		Film	1985	1	24/03/2023		
Toc Toc		Film	2017	2.5	26/03/2023		
1987: When the Day Comes		Film	2017	3.5	27/03/2023		
Gatao		Film	2015	3	02/04/2023		
Ponyo	Gake no ue no Ponyo	Film	2008	2.5	04/04/2023		
There Will Be Blood		Film	2007	2.5	06/04/2023		
The Theory of Everything		Film	2014	2.5	07/04/2023		
A Fistful of Dollars		Film	1964	2.5	08/04/2023		
For a Few Dollars More		Film	1965	2	08/04/2023		
12 Years a Slave		Film	2013	3.5	09/04/2023		
Puss in Boots: The Last Wish		Film	2022	3	27/05/2023		
Teen Wolf: The Movie		Film	2023	1.5	30/05/2023		
Violent Night		Film	2022	2.5	01/06/2023
Winnie the Pooh: Blood and Honey		Film	2023	1.5	02/06/2023
Glass Onion: A Knives Out Mystery		Film	2022	3.5	02/06/2023
Red Sonja		Film	1985	2	02/06/2023
Kull the Conqueror		Film	1997	2	04/06/2023
Conan the Barbarian		Film	2011	2	05/06/2023
The Skin I Live In	La piel que habito	Film	2011	3	07/06/2023
Vampire Hunter D: Bloodlust	Banpaia Hantā Dī: Buraddorasuto	Anime Film	2000	4	12/06/2023	best graphics and artstyle ever
M3gan	M3GAN	Film	2022	3	12/06/2023
Living with Chucky		Film	2022	3	16/06/2023
Nope		Film	2022	1	22/06/2023
In the Aftermath		Film	1988	1	16/07/2023
Evil Dead Rise		Film	2023	3	17/07/2023
The Menu		2022	4	18/07/2023
Beauty and the Dogs	Aala Kaf Ifrit	Film	2017	4	24/07/2023
Aftersun		Film	2022	1	10/08/2023
Blue Exorcist: The Movie	Ao no ekusoshisuto: Gekijôban	Anime film	2012	1.5	14/08/2023
All My Life		Film	2020	2.5	28/08/2023
My Left Foot		Film	1989	3	29/08/2023
An American Werewolf in London		Film	1981	2	02/09/2023
